ContentObjectID;NodeID;AttributeID;"Attribute Identifier";"Attribute Name";Version;"Content Empty";"Node Name";"Node Url"
36822;41912;842804;description;"Page Content";2;1;"Recent News";http://admin.example.com/Florida-Alligator-Marketing/Recent-News
36540;41641;840773;description;"Page Content";1;1;"B-Roll Thumbnails";http://admin.example.com/Media/Images/Fresh-From-Florida-Images/Media-Downloads/B-Roll-Thumbnails
36538;41640;840756;description;"Page Content";1;1;B-Roll;http://admin.example.com/Media/Files/Fresh-From-Florida-Files/Media-Downloads/B-Roll
36478;41590;840273;description;"Page Content";1;1;"Publication Images";http://admin.example.com/Media/Images/Consumer-Services-Images/Publication-Images
36394;41512;839589;description;"Page Content";1;1;"Test Folder 1";http://admin.example.com/Florida-Alligator-Marketing-archive/Alligator-Meat/Test-Folder-1
36348;41438;839227;description;"Page Content";1;1;"A Test Folder";http://admin.example.com/Florida-Alligator-Marketing-archive/Test-Area/A-Test-Folder
36304;41396;838872;description;"Page Content";1;1;Kids;http://admin.example.com/Florida-Alligator-Marketing-archive/Kids
36214;41316;838146;description;"Page Content";1;1;"Menu Templates April 2014";http://admin.example.com/Media/Files/Food-Nutrition-Wellness/Menu-Templates-April-2014
36015;41120;836721;description;"Page Content";1;1;"Alligator Marketing Images";http://admin.example.com/Media/Images/Marketing-Development-Images/Alligator-Marketing-Images
35888;40977;835472;description;"Page Content";1;1;"Suspended Licenses";http://admin.example.com/Media/Files/Consumer-Services-Files/Surveyors-and-Mappers/Suspended-Licenses
35802;39974;834756;description;"Page Content";2;1;"Licensing and Enforcement";http://admin.example.com/Test-Area/Agricultural-Environmental-Services/Bureaus-and-Sections/Licensing-and-Enforcement
35760;39938;834375;description;"Page Content";2;1;"DPAP Files";http://admin.example.com/Media/Files/Plant-Industry-Files/DPAP-Files
35750;39926;834291;description;"Page Content";1;1;"Shellfish Processing";http://admin.example.com/Media/Files/Aquaculture-Files/Shellfish-Processing
35595;39804;832962;description;"Page Content";3;1;Videos;http://admin.example.com/Divisions-Offices/Food-Nutrition-and-Wellness/Living-Healthy-in-Florida/Videos
35485;39686;832109;description;"Page Content";3;1;"Apply Online";http://admin.example.com/Education/For-Educators/Agriscience-Education-Leadership-Program/Apply-Online
